Ulasan,clean,cleanStemming,word_count,English,sentiment,Vader_Sentiment
ternyata custom untuk tombol di kiri tidak bisa ctrl c dsb sedikit kecewa oke,ternyata custom tombol kiri bisaa ctrl sedikit kecewa oke,nyata custom tombol kiri bisaa ctrl sedikit kecewa oke,14,it turns out that the custom left button can ctrl a little disappointed okay,-0.2927,Negative
mantap pelayanan gesit barang berfungsi dengan baik,mantap pelayanan gesit barang berfungsi baik,mantap layan gesit barang fungsi baik,7,steady service nimble goods functioning well,0.2732,Positive
semoga awet belum gw buka dan ada garansi tahun si aman banget harusnya,semoga awet buka garansi tahun aman banget harusnya,moga awet buka garansi tahun aman banget harus,13,I hope it durable opening the warranty year is really safe,0.7264,Positive
terimakasih sudah packing aman dan sampai di tujuan,terimakasih packing aman tujuan,terimakasih packing aman tuju,8,Thank you packing safe destination,0.6597,Positive
mousepad nya bagus,mousepad bagus,mousepad bagus,3,good mousepad,0.4404,Positive
pengiriman cepat di proses untuk ukuran toko resmi bubble wrap tebal,pengiriman cepat proses ukuran toko resmi bubble wrap tebal,kirim cepat proses ukur toko resmi bubble wrap tebal,11,Fast delivery process of the size of the official bubble wrap's official store,0.0,Neutral
barang sampai dengan aman,barang aman,barang aman,4,safe goods,0.4404,Positive
fast response packing rapih bubble wrap super tebal,fast response packing rapih bubble wrap super tebal,fast response packing rapih bubble wrap super tebal,8,fast response packing neat bubble wrap super thick,0.7845,Positive
best value mouse ukuran mouse pas ditangan nyaman dan praktis tinggal plug play,best value mouse ukuran mouse pas ditangan nyaman praktis tinggal plug play,best value mouse ukur mouse pas tang nyaman praktis tinggal plug play,13,best value mouse mouse mouse size right in a comfortable hand practically stay plug play,0.9382,Positive
service bagus dan fast respons barang oke tp sayang sekedar ganti casing aja hrs ke service center dulu biar gk ngerusak garansi,service bagus fast respons barang oke sayang sekedar ganti casing aja service center dulu ngga ngerusak garansi,service bagus fast respons barang oke sayang dar ganti casing aja service center dulu ngga ngerusak garansi,22,Good service fast response item okay dear just replace the casing center first not damage the warranty,0.8413,Positive
bagus produk sesuai ekspektasi pelayanan sangat baik,bagus produk sesuai ekspektasi pelayanan sangat baik,bagus produk sesuai ekspektasi layan sangat baik,7,good product according to very good service expectations,0.7264,Positive
brg sesuai pengiriman capat respon cepat next order lg disini terimakasih,barang sesuai pengiriman capat respon cepat next order disini terimakasih,barang sesuai kirim capat respon cepat next order sini terimakasih,11,goods according to shipping can be fast response next order here thank you,0.3612,Positive
sesuai deskripsi ada beberapa penyesuaian tapi jalan lancar,sesuai deskripsi beberapa penyesuaian jalan lancar,sesuai deskripsi beberapa sesuai jalan lancar,8,according to the description of some of the current road adjustments,0.0,Neutral
bagus bagus sesuai foto dan yang paling utama adalah curved,bagus bagus sesuai foto paling utama curved,bagus bagus sesuai foto paling utama curved,10,good good according to the most important photo curved,0.7841,Positive
barang ok berfungsi dengan baik,barang berfungsi baik,barang fungsi baik,5,Goods functioning well,0.2732,Positive
barang sesuai pesanan dan berfungsi dengan baik,barang sesuai pesanan berfungsi baik,barang sesuai pesan fungsi baik,7,Goods according to the order functioning well,0.2732,Positive
respon cepatramah dan barangnya baguuuus pengiriman juga cepat terima kasih seller,respon cepatramah barangnya bagus pengiriman cepat terima kasih seller,respon cepatramah barang bagus kirim cepat terima kasih seller,11,Fast response of good goods,0.4404,Positive
nice service produk original,nice service produk original,nice service produk original,4,Nice Service Original Product,0.6249,Positive
pengemasan rapi bubble wrap tebal pokoknya mantap,pengemasan rapi bubble wrap tebal pokoknya mantap,emas rapi bubble wrap tebal pokok mantap,7,neat packaging bubble wrap thick anyway,0.4588,Positive
trima kasih ssd nya cocok dengan laptop saya,terima kasih ssd cocok laptop,terima kasih ssd cocok laptop,8,thank you ssd suitable laptop,0.3612,Positive
barang sdh diterima tinggal di kan nanti di update lagi yaa,barangsudahditerima tinggal kan update yaa,barangsudahditerima tinggal kan update yaa,11,"the item has been received, right?",0.0,Neutral
mousepad gaming bagus,mousepad gaming bagus,mousepad gaming bagus,3,good mousepad gaming,0.4404,Positive
keren pake murmer ga ribet bisa main game meski ga rata kanan,keren pake murmernggaribanget bisaa main game meskinggarata kanan,keren pake murmernggaribanget bisaa main game meskinggarata kanan,12,cool using murmerggaribanget can play the game even though right,0.5719,Positive
kursinya empuk,kursinya empuk,kursi empuk,2,The chair is soft,0.0,Neutral
mantap barang ori berjalan lancar kenceng buat gaming,mantap barang ori berjalan lancar kenceng buat gaming,mantap barang ori jalan lancar kenceng buat gaming,8,Steady ori goods run smoothly fast for gaming,0.0,Neutral
ukuran mouse pas ditangan nyaman dan praktis tinggal plug play best value mouse,ukuran mouse pas ditangan nyaman praktis tinggal plug play best value mouse,ukur mouse pas tang nyaman praktis tinggal plug play best value mouse,13,the size of the mouse right in the hands comfortable practically just plug play best value mouse,0.9062,Positive
mantap pekingan rapih,mantap pekingan rapih,mantap peking rapih,3,steady neat pekingan,0.4588,Positive
pekingan sangat rapih dan tebal sesuai pesanan mendarat dengan mulus,pekingan sangat rapih tebal sesuai pesanan mendarat mulus,peking sangat rapih tebal sesuai pesan darat mulus,10,Pekingan is very neatly thick according to the order to land smoothly,0.4005,Positive
mantab sih packing tanpa pakcing kayu tapi bubble wrap sampe setengah gulung berlipat keknya ada x lapisnya ternyata ini tokonya imba pc yg punya dpt kartu n,mantap packing pakcing kayu bubble wrap sampe setengah gulung berlipat keknya lapisnya ternyata tokonya imba pc punya dpt kartu,mantap packing pakcing kayu bubble wrap sampe tengah gulung lipat kek lapis nyata toko imba pc punya dpt kartu,27,steady packing packing bubble wrap wooden packing up to half rolls in a layer of layer it turns out that the shop Imba PC has a card DPT,0.0,Neutral
datang tepat waktu works thanks,datang tepat waktu works thanks,datang tepat waktu works thanks,5,arrive on time works thanks,0.4404,Positive
barang original speed blm ditest semoga awet,barang original speed ditest semoga awet,barang original speed ditest moga awet,7,"Original Speed ​​Items Tested, hopefully durable",0.6124,Positive
mantabs tidak ada kendala,mantaps kendala,mantaps kendala,4,mantaps constraints,0.0,Neutral
sip mantaaaap mendarat dgn mulus packing super tebel mantaaaap thnks bang,sip mantap mendarat mulus packing super tebel mantap thnks bang,sip mantap darat mulus packing super tebel mantap thnks bang,11,sip great landing smooth packing super tebel steady too bang,0.8402,Positive
sesuai deskripsi,sesuai deskripsi,sesuai deskripsi,2,according to the description,0.0,Neutral
produk sudah sampai setelah minggu dari ekspediisinya yg lambat padahal dari seller sudah gercep untuk produknya mantap pokoknya,produk minggu ekspediisinya lambat padahal seller gercep produknya mantap pokoknya,produk minggu ekspediisinya lambat padahal seller gercep produk mantap pokok,18,The ex -expedited week products are slow even though the product gercep seller is great,0.6249,Positive
bekerja dengan sangat baik udah kepasang sekitar semingguan dan memang performa kelas atas,bekerja sangat baik udah kepasang semingguan memang performa kelas atas,kerja sangat baik udah pasang minggu memang performa kelas atas,13,working very well already paired as a week is indeed upper class performance,0.3384,Positive
msi udah ga perlu diraguikan deh kualitas pelayanannya terbaik thank youuuu,msi udahnggaperlu diraguikan deh kualitas pelayanannya terbaik thank youuuu,msi udahnggaperlu diraguikan deh kualitas layan baik thank youuuu,11,Msi already needs to be doubted and the best service quality thank you,0.6808,Positive
packing aman bubble warp cukup tebal kardus vga card nya masih aman dan vga card nya aman,packing aman bubble warp cukup tebal kardus vga card aman vga card aman,packing aman bubble warp cukup tebal kardus vga card aman vga card aman,17,Safe packing bubble warp is thick enough cardboard VGA card safe VGA card safe,0.8271,Positive
output suaranya bagus banget sih bodi headphone nya juga solid dan gak kerasa kopong ya emang sih perbandingannya sama headphone saya sebelumnya yang rban ditamba,outapiut suaranya bagus banget bodi headphone solid ngga kerasa kopong emang perbandingannya sama headphone sebelumnya rban ditamba,outapiut suara bagus banget bodi headphone solid ngga rasa kopong emang banding sama headphone belum rban ditamba,25,"The sound output is really good body headphone solid does not feel hollow, the comparison is the same as the previous headphone",0.5849,Positive
mantappp produknya,mantapp produknya,mantapp produk,2,Mantapp the product,0.0,Neutral
rekomendasi saya adalah membeli barang anda dari perusahaan lain toko ini hanya tertarik pada penjualan bukan pelayanan saya membeli monitor juta ini dan rusak pada,rekomendasi membeli barang perusahaan toko tertarik penjualan bukan pelayanan membeli monitor juta rusak,rekomendasi beli barang usaha toko tarik jual bukan layan beli monitor juta rusak,25,"Recommendations for buying shops in shops are interested in sales, not services to buy damaged million",-0.0516,Negative
sangat bagus dan lengkap semoga awet,sangat bagus lenggaap semoga awet,sangat bagus lenggaap moga awet,6,very good lenggaap hopefully durable,0.7316,Positive
mantab buat upgrade msi katana speed gen terkenceng di kelasnya,mantap buat upgrade msi katana speed gen terkenceng kelasnya,mantap buat upgrade msi katana speed gen kenceng kelas,10,"great to upgrade MSI katana speed genes, the classrooms",0.6249,Positive
pc nya bagus dapat upgrade juga makin mantap pelayanan juga fast response info yang disampaikan juga tepat jangan ragu untuk berbelanja disini top markotop,pc bagus upgrade makin mantap pelayanan fast response info disampaikan tepat jangan ragu berbelanja disini top markotop,pc bagus upgrade makin mantap layan fast response info sampai tepat jangan ragu belanja sini top markotop,24,Good PC upgrade more stable service fast response info delivered right do not hesitate to shop here TOP MARKOTOP,0.829,Positive
sesuai pesanan admin gercep cuma gk dapat stiker msi,sesuai pesanan admin gercep cuma ngga stiker msi,sesuai pesan admin gercep cuma ngga stiker msi,9,according to the order admin Gercep is just not a MSI sticker,0.0,Neutral
hm,hm,hm,1,Hm,0.0,Neutral
keyboardnya mantap dan enak digunakan enak banget buat ngegame build qualitynya terbaik,keyboardnya mantap enak digunakan enak banget buat ngegame build qualitynya terbaik,keyboardnya mantap enak guna enak banget buat ngegame build qualitynya baik,12,"The keyboard is great, it's really good to use it for the best quality build quality",0.9099,Positive
barang ori packing aman dan rapi pengiriman sesuai jadwal,barang ori packing aman rapi pengiriman sesuai jadwal,barang ori packing aman rapi kirim sesuai jadwal,9,Ori packing items are safe to ship according to schedule,0.4404,Positive
semoga monitor nya awet dan kalau ada cacat semoga claim garansinya dipermudah,semoga monitor awet kalau cacat semoga claim garansinya dipermudah,moga monitor awet kalau cacat moga claim garansi mudah,12,"I hope the monitor is durable if the disability, hopefully the warranty claims will be made easier",0.8126,Positive
siiiiiiip besok order lagi,siiiiiiip besok order,siiiiiiip besok order,4,siiiiiiip tomorrow order,0.0,Neutral
barang sampai dengan selamat sat set sat set,barang selamat sat set sat set,barang selamat sat set sat set,8,Goods Congratulations Sat Set Sat Set,0.5994,Positive
belum dicoba semoga gak masalah pengiriman cepat edit setelah hampir sebulan pemakaian bagian kapasitor keluar api pas dinyalakan di pagi hari catatan menggunakan,dicoba semoga ngga masalah pengiriman cepat edit hampir sebulan pemakaian bagian kapasitor keluar api pas dinyalakan pagi hari catatan menggunakan,coba moga ngga masalah kirim cepat edit hampir bulan pakai bagi kapasitor keluar api pas nyala pagi hari catat guna,23,"try it, hopefully there is no problem for fast shipping, edit almost a month the use of the capacitor out of the fire when it is turned on in the morning notes using",0.3732,Positive
rekommended seller respon cepat packing rapih dan barang sesuai deskripsi,rekommended seller respon cepat packing rapih barang sesuai deskripsi,rekommended seller respon cepat packing rapih barang sesuai deskripsi,10,Recommended Seller Fast Response Packing Neat Goods according to the description,0.5859,Positive
mantapbubbelrap tebal,mantapbubbelrap tebal,mantapbubbelrap tebal,2,great bubble wrap thick,0.6249,Positive
barang original dan packing aman sekali terimakasih,barang original packing aman sekali terimakasih,barang original packing aman sekali terimakasih,7,"Original packing items are very safe, thank you",0.8059,Positive
mantap dan berkualitas,mantap berkualitas,mantap kualitas,3,Great quality,0.6249,Positive
monitornya mantap,monitornya mantap,monitor mantap,2,The monitor is great,0.6249,Positive
pengiriman cepat barang mulus siap pake ngecompe,pengiriman cepat barang mulus siap pake ngecompe,kirim cepat barang mulus siap pake ngecompe,7,Fast delivery of smooth goods ready to use ngecompe,0.3612,Positive
barang sesuai spek proses cepat dan seller ramah kekurangan model ini ga bisa untuk triple display karena prosesor seri f,barang sesuai spek proses cepat seller ramah kekurangan model ininggabisaa triple display prosesor seri,barang sesuai spek proses cepat seller ramah kurang model ininggabisaa triple display prosesor seri,20,Items according to the SPEK Fast Seller Process Seller Lack of Model ingabisaa Triple Display Series Processor,-0.3182,Negative
mantap sampai dengan selamat,mantap selamat,mantap selamat,4,Great congratulations,0.8402,Positive
bagus sesuai ekspektasi hz mantap sayang tipe curved nya blm ada utk ukuran segini,bagus sesuai ekspektasi hz mantap sayang tipe curved ukuran segini,bagus sesuai ekspektasi hz mantap sayang tipe curved ukur gin,14,good according to expectations hz steady dear this type of curved size,0.6705,Positive
berfungsi dgn baik,berfungsi baik,fungsi baik,3,functioning well,0.2732,Positive
recommended seller,recommended seller,recommended seller,2,Recommended Seller,0.2023,Positive
barang berfungsi dgn baik bisa di atur di msi center keren puol original punya,barang berfungsi baik bisaa atur msi center keren puol original punya,barang fungsi baik bisaa atur msi center keren puol original punya,14,Good functioning items can adjust the original MSI Center Poll Original,0.7579,Positive
barang sdh diyerima dengan baikorimakasih,barangsudahdiyerima baikorimakasih,barangsudahdiyerima baikorimakasih,5,BARANGSUDIYDIYDIHAHIKAHIKHIKAH,0.0,Neutral
packing nya mantaabbbs orderan sampai dengan happy banget,packing mantap orderan happy banget,packing mantap order happy banget,8,Packing Great Order Very Happy,0.8439,Positive
sudah mengikuti msi selama tahun selalu dibuat puas dan melebihi ekspetasi pelayanannya baik packing sangat aman harga sesuai kualitas terima kasih mantap,mengikuti msi selama tahun selalu dibuat puas melebihi ekspetasi pelayanannya baik packing sangat aman harga sesuai kualitas terima kasih mantap,ikut msi lama tahun selalu buat puas lebih ekspetasi layan baik packing sangat aman harga sesuai kualitas terima kasih mantap,22,following MSI during the year always made satisfied extension of the extension of the service both packing very safe prices according to the quality of thank you greatly,0.8173,Positive
mantab proteksi tebal barang sesuai deskripsi,mantap proteksi tebal barang sesuai deskripsi,mantap proteksi tebal barang sesuai deskripsi,6,steady protection thickness of goods according to the description,0.0,Neutral
dapat berfungai dengan baik,berfungai baik,berfungai baik,4,Fun!,0.5562,Positive
luar biasa mantap,luar biasa mantap,luar biasa mantap,3,Unbelievable,0.2023,Positive
jos jis bngtadminya juga jos,jos jis bangetadminya jos,jos jis bangetadminya jos,5,Jos Jisadmanya Jos,0.0,Neutral
jos jis bngt namun sayang di expedisi pengiriman nya lumayan lama yg lain ok semua,jos jis banget sayang expedisi pengiriman lumayan lama semua,jos jis banget sayang expedisi kirim lumayan lama semua,15,JOS JIS Very Dear Shipping Expeditions for quite a long time,0.4391,Positive
ok jos jis,jos jis,jos jis,3,Jos Jis,0.0,Neutral
jos jis banget,jos jis banget,jos jis banget,3,Jos JIS really,0.0,Neutral
barang bagus spek sesuai packing aman rapi hanya pengiriman yg lama,barang bagus spek sesuai packing aman rapi pengiriman lama,barang bagus spek sesuai packing aman rapi kirim lama,11,good stuff specs according to packing safely neat long shipping,0.8442,Positive
proses pengiriman lama dan penjual tidak jujur dan kooperatif kronologi hari jumat sicepat tidak melakukan pickup paket hari sabtu pembeli meminta pembatalan utk meng,proses pengiriman lama penjual jujur kooperatif kronologi hari jumat sicepat melakukan pickup paket hari sabtu pembeli meminta pembatalan meng,proses kirim lama jual jujur kooperatif kronologi hari jumat sicepat laku pickup paket hari sabtu beli minta batal meng,24,the old delivery process of the honest seller of the Cooperative Chronology on Friday Sicepat Disposes the Pickup Package on Saturday Buyers ask for the cancellation,0.5106,Positive
langsung buat kerja,langsung buat kerja,langsung buat kerja,3,directly for work,0.0,Neutral
desainnya keren gampang dibawabawa packaging aman packaging rapi,desainnya keren gampang dibawabawa packaging aman packaging rapi,desain keren gampang dibawabawa packaging aman packaging rapi,8,The design is cool easily brought in a neat packaging packaging,0.7717,Positive
belum dicoba semoga gaada kendala,dicoba semoga gaada kendala,coba moga gaada kendala,5,try hopefully there are no obstacles,0.5972,Positive
ok barang sampai dengan selamat packing safe thank,barang selamat packing safe thank,barang selamat packing safe thank,8,Happy packing safe safe,0.8591,Positive
seller responnya cepat langsung dikirim setelah order packing rapi dan aman mantab pokoknya,seller responnya cepat langsung dikirim order packing rapi aman mantap pokoknya,seller responnya cepat langsung kirim order packing rapi aman mantap pokok,13,"Seller response quickly immediately sent a neat packing order safely, anyway",0.7351,Positive
produk sesuai dengan gambar,produk sesuai gambar,produk sesuai gambar,4,Products according to the picture,0.0,Neutral
barang bagus ori mantap seller responsif thx u,barang bagus ori mantap seller responsif thx,barang bagus ori mantap seller responsif thx,8,good ori good stuff is responsive seller thx,0.8689,Positive
performa baik dalam pemakaian bulan,performa baik pemakaian bulan,performa baik pakai bulan,5,Good Moon Use Performance,0.4404,Positive
muantab gan,mantap gan,mantap gan,2,great bro,0.6249,Positive
nice bgt monitornya cuma lama nyampe nya aja,nice banget monitornya cuma lama nyampe aja,nice banget monitor cuma lama nyampe aja,8,really nice monitor just arrived for a long time,0.4754,Positive
ada dead pixel disuruh ke store cuma buat ketemu teknisi kalau dijanjikan ganti unit sih gak masalah langsung berangkat biar bintang aja lah yang berbicara,dead pixel disuruh store cuma buat ketemu teknisi kalau dijanjikan ganti unit ngga masalah langsung beranggaat bintang aja lah berbicara,dead pixel suruh store cuma buat ketemu teknisi kalau janji ganti unit ngga masalah langsung beranggaat bintang aja lah bicara,25,Dead Pixel was told to the store just to meet the technician if promised to change the unit not a direct problem.,-0.1386,Negative
barang sesuai deskripsi berfungsi dengan baik thanks,barang sesuai deskripsi berfungsi baik thanks,barang sesuai deskripsi fungsi baik thanks,7,goods according to the description function well thanks,0.6124,Positive
bagus,bagus,bagus,1,Good,0.4404,Positive
barang sudah diterima sudah dites dan sejauh ini barang aman tidak ada cacat packaging sangat rapih dan tebal jadi aman saat pengiriman sempat ada masalah keterlambata,barang diterima dites sejauh barang aman cacat packaging sangat rapih tebal jadi aman pengiriman sempat masalah keterlambata,barang terima tes jauh barang aman cacat packaging sangat rapih tebal jadi aman kirim sempat masalah keterlambata,26,"The items received were tested as far as the goods were safe, the packaging defective was very neat so it was safe for shipping.",0.7548,Positive
produk mantap kualitas bagus pengiriman cepat packing aman makasih gan,produk mantap kualitas bagus pengiriman cepat packing aman makasih gan,produk mantap kualitas bagus kirim cepat packing aman makasih gan,10,"good product good quality good shipping fast packing safe, thanks, bro",0.926,Positive
mantap semoga berfungsi dengan baik,mantap semoga berfungsi baik,mantap moga fungsi baik,5,great hopefully functioning well,0.836,Positive
msi keren,msi keren,msi keren,2,Msi is cool,0.3182,Positive
tidak ada speaker builtin harus nambah speaker external hanya mentok di hz tidak sesuai deskripsi entah harus dioverclock terlebih dahulu atau bagaimana,speaker builtin nambah speaker external mentok hz sesuai deskripsi entah dioverclock terlebih bagaimana,speaker builtin nambah speaker external mentok hz sesuai deskripsi entah dioverclock lebih bagaimana,22,builtin speakers add external speakers stuck Hz according to the description whether overclocked especially how,-0.25,Negative
barangnya asli bagus dan penjaga tokonya tahu banget soal computer parts brands untuk msi,barangnya asli bagus penjaga tokonya tahu banget soal computer parts brands msi,barang asli bagus jaga toko tahu banget soal computer parts brands msi,14,The original item is good the shopkeeper really knows about MSI Brands Computer Parts,0.6369,Positive
barangnya berasa mewah bangett,barangnya berasa mewah bangett,barang asa mewah bangett,4,the item feels really luxurious,0.0,Neutral
star gak lagibg tapi spiking buat main dota udah menyerah mencari usb wifi receiver selain ini tapi buat game lain mulus,star ngga lagibg spiking buat main dota udah menyerah mencari usb wifi receiver buat game mulus,star ngga lagibg spiking buat main dota udah serah cari usb wifi receiver buat game mulus,21,Star no longer spiking for playing dota already gave up looking for a USB wifi receiver for smooth games,-0.1027,Negative
barang sesuai deskripsi packingnya tebel banget jadi aman sudah dites fungsi oke mantaf,barang sesuai deskripsi packingnya tebel banget jadi aman dites fungsi oke mantap,barang sesuai deskripsi packingnya tebel banget jadi aman tes fungsi oke mantap,13,items according to the description of the packing are really thick so it is safe,0.4877,Positive
mantap pengiriman cepat,mantap pengiriman cepat,mantap kirim cepat,3,great fast delivery,0.6249,Positive
mantappp,mantapp,mantapp,1,Mantapp,0.0,Neutral
bagus bangetbuat harga segitu lumayandan overall semua ok kendalasukses selalu buat msi good job,bagus bangetbuat harga segitu lumayandan overall semua kendalasukses selalu buat msi good job,bagus bangetbuat harga segitu lumayandan overall semua kendalasukses selalu buat msi good job,14,It's really good to make that much price lumayand and overall all Kendalukasses always for Msi Good Job,0.7264,Positive
mantaap keren parah,mantaap keren parah,mantaap keren parah,3,bad cool,-0.296,Negative
recommended seller barang dikirim dengan aman,recommended seller barang dikirim aman,recommended seller barang kirim aman,6,Recommended Seller Goods sent safe,0.5719,Positive
sesuai dengan pesanan,sesuai pesanan,sesuai pesan,3,according to the order,0.0,Neutral
jozz mudahan awet,jozz mudahan awet,jozz mudah awet,3,Jozz hopefully lasts,0.4019,Positive
ternyata tidak di paking sama pihak sicepatnya bukan dari selernya,ternyata paking sama pihak sicepatnya bukan selernya,nyata paking sama pihak sicepatnya bukan selernya,10,it turns out that the packing and the fast are not the selery,0.0,Neutral
untuk monitor tidak ada masalah dan sudah saya cek untuk pengiriman sangat cepat sekali hari sampai padahal pakai kargo untuk packing sangat aman sekali dengan bubb,monitor masalah cek pengiriman sangat cepat sekali hari padahal pakai kargo packing sangat aman sekali bubb,monitor masalah cek kirim sangat cepat sekali hari padahal pakai kargo packing sangat aman sekali bubb,26,monitor the problem of shipping checks very fast even though using cargo packing is very safe bubb,0.1263,Positive
aman dan sudah berjalan normal dapat gift steam dan banyak promo lagi pakai msi,aman berjalan normal gift steam banyak promo pakai msi,aman jalan normal gift steam banyak promo pakai msi,14,safe running normally gift steam lots of promos using msi,0.7003,Positive
barang sampai dengan selamat packing nya tebel banget keren pokoknya mantap,barang selamat packing tebel banget keren pokoknya mantap,barang selamat packing tebel banget keren pokok mantap,11,Goods Congratulations Packing Tebel Very Cool Anyway,0.7574,Positive
alhamdulilah,alhamdulilah,alhamdulilah,1,Alhamdulillah,0.0,Neutral
tidak pakai packing kayu gak masalah sih jtr masih aman,pakai packing kayu ngga masalah jtr aman,pakai packing kayu ngga masalah jtr aman,10,using wooden packing is not safe JTR problems,-0.0382,Negative
gak ada komplain atau kendala packing mantap sudah dipakai monitornya refresh rate hz bisa dipakai sementara tidak mengalami kendala,ngga komplain kendala packing mantap dipakai monitornya refresh rate hz bisaa dipakai mengalami kendala,ngga komplain kendala packing mantap pakai monitor refresh rate hz bisaa pakai alami kendala,19,no complaints of steady packing constraints used the monitor refresh rate Hz can be used to experience problems,-0.1134,Negative
baru bisa ulas sekarang monitor original kualitas oke layar jernih barang sampai dengan aman,baru bisaa ulas sekarang monitor original kualitas oke layar jernih barang aman,baru bisaa ulas sekarang monitor original kualitas oke layar jernih barang aman,14,can only review now the original monitor quality okay clear screen,0.7003,Positive
mantap sesuai pesanan bubble nya tebel banget semoga awet,mantap sesuai pesanan bubble tebel banget semoga awet,mantap sesuai pesan bubble tebel banget moga awet,9,"great according to the order bubble is really thick, hopefully it will be durable",0.7951,Positive
waooooow komen pertama ketika barang datang baru kali ini merakit pc dengan mobo diatas jt io lengkap terutama audio saya sekali sudah ada port optical mantap,waooooow komen pertama barang datang baru kali merakit pc mobo diatas jt io lenggaap terutama audio sekali port optical mantap,waooooow komen pertama barang datang baru kali rakit pc mobo atas jt io lenggaap utama audio sekali port optical mantap,26,"waooooow the first comment the goods came just assembling the mobo pc above jt io lenggaap, especially the audio once a great optical port",0.7184,Positive
keyboardnya mantap dan enak digunakan,keyboardnya mantap enak digunakan,keyboardnya mantap enak guna,5,The keyboard is great,0.6249,Positive
bagus juga harga jutaan,bagus harga jutaan,bagus harga juta,4,good price millions,0.4404,Positive
ya kayu,kayu,kayu,2,wood,0.0,Neutral
mantab min hitamnya doff elegan nyala rgbnya juga pas gak terlalu ngejreng packing bubble wrap tebelll sampai pontianak aman kardus gak ada yang penyok,mantap min hitamnya doff elegan nyala rgbnya pas ngga terlalu ngejreng packing bubble wrap tebelll pontianak aman kardus ngga penyok,mantap min hitam doff elegan nyala rgbnya pas ngga terlalu ngejreng packing bubble wrap tebelll pontianak aman kardus ngga penyok,24,"great, the black doff is elegant, the RGB is not too crawling the packing bubble wrap tebelll pontianak is safe cardboard is not dented",0.8779,Positive
susah diterima barang bagus mantap thx u kaka,susah diterima barang bagus mantap thx kaka,susah terima barang bagus mantap thx kaka,8,hard to accept good good stuff thx kaka,0.8591,Positive
respon toko sangat baik ekspedisi nya aja bermasalah,respon toko sangat baik ekspedisi aja bermasalah,respon toko sangat baik ekspedisi aja masalah,8,the shop response is very good expedition just having a problem,0.1263,Positive
barang sudah diterima dgn baik dan cepat tqq,barang diterima baik cepat tqq,barang terima baik cepat tqq,8,Good items are received fast tqq,0.4404,Positive
barang sudah diterima dengan baik dan cepat tqq,barang diterima baik cepat tqq,barang terima baik cepat tqq,8,Good items are received fast tqq,0.4404,Positive
sangat amann,sangat amann,sangat amann,2,Very safe,0.4927,Positive
berharap dapat mousepad,berharap mousepad,harap mousepad,3,Hoping Mousepad,0.4215,Positive
original masih segel mantullll thanks untuk pengiriman super aman,original segel mantullll thanks pengiriman super aman,original segel mantullll thanks kirim super aman,9,Original seal mantullll thanks super safe shipping,0.9001,Positive
oke,oke,oke,1,Okay,0.2263,Positive
infonya bonus speaker tapi gak ada speakernya walaupun beneran barang baru,infonya bonus speaker ngga speakernya walaupun beneran barang baru,info bonus speaker ngga speakernya walaupun beneran barang baru,11,the info the speaker bonus is not the speaker even though it's really a new item,0.5423,Positive
unit datang dengan baik hanya saja belum sempat dipakai,unit datang baik sempat dipakai,unit datang baik sempat pakai,9,The unit came well to be used,0.2732,Positive
sudah dicoba semoga awetbarang sesuai mantap,dicoba semoga awetbarang sesuai mantap,coba moga awetbarang sesuai mantap,6,"try it, hopefully it will be a goodness",0.6908,Positive
kualitas bagus cuman masalah treatment layarnya,kualitas bagus cuman masalah treatment layarnya,kualitas bagus cuman masalah treatment layar,6,good quality only the problem of the screen treatment,0.0516,Positive
respon penjual cukup saya mengharapkan sameday di hari yang sama tapi kena longkap sehari tp ok lah saya memaklumi mungkin karena transaksi yang pada di hari itu,respon penjual cukup mengharapkan sameday hari sama kena longgaap sehari lah memaklumi munggain transaksi hari,respon jual cukup harap sameday hari sama kena longgaap hari lah maklum munggain transaksi hari,27,The seller's response is enough to expect Sameday the same day to be levied a day to understand the transaction of the day,0.0,Neutral
istimewa,istimewa,istimewa,1,special,0.4019,Positive
mantap paket mendarat dengan sempurna jooos,mantap paket mendarat sempurna jooos,mantap paket darat sempurna jooos,6,great package landing perfect jooos,0.8316,Positive
mantap packing bubble tebal membuat kita merasa aman dan tenang saat dibuka barang diterima dengan sangat baik tanpa cacat mantap terima kasih atas layanannya dari pem,mantap packing bubble tebal membuat merasa aman tenang dibuka barang diterima sangat baik cacat mantap terima kasih atas layanannya pem,mantap packing bubble tebal buat rasa aman tenang buka barang terima sangat baik cacat mantap terima kasih atas layan pem,26,Great Packing Bubble Thick makes you feel safe calm open items are received very well.,0.8932,Positive
top seller delivery cepat dan sampai dengan aman,top seller delivery cepat aman,top seller delivery cepat aman,8,Top Seller Delivery Safely,0.6124,Positive
barang bagus kondisi saat di operasikan tidak ada kendala,barang bagus kondisi operasikan kendala,barang bagus kondisi operasi kendala,9,Good Item Condition Operating Constraints,0.4404,Positive
barang ok dan jalan normal,barang jalan normal,barang jalan normal,5,normal street goods,0.0,Neutral
puas bangettt awalnya ragu karena blm ada yang pernah beli setelah coba beli dan sendiri review pakai worth,puas bangettt awalnya ragu pernah beli coba beli sendiri review pakai worth,puas bangettt awal ragu pernah beli coba beli sendiri review pakai worth,18,very satisfied at first hesitated to have bought try to buy yourself a review using worth,0.4005,Positive
akhirnya sampai,akhirnya,akhir,2,Finally,0.0,Neutral
